disease_OMIM_ID	disease_name	gene_symbol
1	$Deafness, Y-linke$	PCOS1
1	$Deafness, Y-linke$	PEE1
1	$Deafness, Y-linke$	PLSA
1	$Deafness, Y-linke$	PLSA1
1	$Deafness, Y-linke$	PMV
1	$Deafness, Y-linke$	PPR1
1	$Deafness, Y-linke$	PREG1
1	$Deafness, Y-linke$	PTOS1
1	$Deafness, Y-linke$	RFS
1	$Deafness, Y-linke$	SHFD1
1	$Deafness, Y-linke$	SHFL1
1	$Deafness, Y-linke$	SHFLD
1	$Deafness, Y-linke$	SHFM1
1	$Deafness, Y-linke$	SHSF1
1	$Deafness, Y-linke$	SLI1
1	$Deafness, Y-linke$	SPGFY1
1	$Deafness, Y-linke$	SYNX
1	$Deafness, Y-linke$	TRICY1
1	$Deafness, Y-linke$	ZD1
10	46XY sex reversa	ARMD10
10	46XY sex reversa	DA10
10	46XY sex reversa	FEB10
10	46XY sex reversa	HYPT10
10	46XY sex reversa	MYP10
10	46XY sex reversa	OTSC10
10	46XY sex reversa	SRXY10
100100	Prune belly syndrome	CHRM3
100100	Prune belly syndrome	EGBRS
100100	Prune belly syndrome	PBS
100300	Adams-Oliver syndrome 1	AOS1
100300	Adams-Oliver syndrome 1	ARHGAP31
100300	Adams-Oliver syndrome 1	CDGAP
100300	Adams-Oliver syndrome 1	KIAA1204
100800	Achondroplasia	ACH
100800	Achondroplasia	FGFR3
101000	$Neurofibromatosis, type 2$	NF2
101200	Apert syndrome	BBDS
101200	Apert syndrome	BEK
101200	Apert syndrome	CFD1
101200	Apert syndrome	FGFR2
101200	Apert syndrome	JWS
101200	Apert syndrome	TK14
101400	Saethre-Chotzen syndrome	ACS3
101400	Saethre-Chotzen syndrome	BBDS
101400	Saethre-Chotzen syndrome	BEK
101400	Saethre-Chotzen syndrome	CFD1
101400	Saethre-Chotzen syndrome	CRS1
101400	Saethre-Chotzen syndrome	FGFR2
101400	Saethre-Chotzen syndrome	JWS
101400	Saethre-Chotzen syndrome	SCS
101400	Saethre-Chotzen syndrome	TK14
101400	Saethre-Chotzen syndrome	TWIST1
101600	Craniofacial-skeletal-dermatologic dysplasia	BBDS
101600	Craniofacial-skeletal-dermatologic dysplasia	BEK
101600	Craniofacial-skeletal-dermatologic dysplasia	CFD1
101600	Craniofacial-skeletal-dermatologic dysplasia	ECCL
101600	Craniofacial-skeletal-dermatologic dysplasia	FGFR1
101600	Craniofacial-skeletal-dermatologic dysplasia	FGFR2
101600	Craniofacial-skeletal-dermatologic dysplasia	FLT2
101600	Craniofacial-skeletal-dermatologic dysplasia	HH2
101600	Craniofacial-skeletal-dermatologic dysplasia	HRTFDS
101600	Craniofacial-skeletal-dermatologic dysplasia	JWS
101600	Craniofacial-skeletal-dermatologic dysplasia	KAL2
101600	Craniofacial-skeletal-dermatologic dysplasia	OGD
101600	Craniofacial-skeletal-dermatologic dysplasia	TK14
101800	$Acrodysostosis 1, with or without hormone resistance$	ACRDYS1
101800	$Acrodysostosis 1, with or without hormone resistance$	CAR
101800	$Acrodysostosis 1, with or without hormone resistance$	CNC1
101800	$Acrodysostosis 1, with or without hormone resistance$	PPNAD1
101800	$Acrodysostosis 1, with or without hormone resistance$	PRKAR1A
101800	$Acrodysostosis 1, with or without hormone resistance$	TSE1
101900	Acrokeratosis verruciformis	ATP2A2
101900	Acrokeratosis verruciformis	ATP2B
101900	Acrokeratosis verruciformis	DAR
102200	$Acromegaly, somatic$	AHO
102200	$Acromegaly, somatic$	AIP
102200	$Acromegaly, somatic$	ARA9
102200	$Acromegaly, somatic$	GNAS
102200	$Acromegaly, somatic$	GNAS1
102200	$Acromegaly, somatic$	GPSA
102200	$Acromegaly, somatic$	PHP1A
102200	$Acromegaly, somatic$	PHP1B
102200	$Acromegaly, somatic$	PHP1C
102200	$Acromegaly, somatic$	POH
102200	$Acromegaly, somatic$	XAP2
102370	Acromicric dysplasia	ACMICD
102370	Acromicric dysplasia	ECTOL1
102370	Acromicric dysplasia	FBN1
102370	Acromicric dysplasia	GPHYSD2
102370	Acromicric dysplasia	MFLS
102370	Acromicric dysplasia	MFS1
102370	Acromicric dysplasia	SSKS
102370	Acromicric dysplasia	WMS2
102500	Hajdu-Cheney syndrome	AGS2
102500	Hajdu-Cheney syndrome	HJCYS
102500	Hajdu-Cheney syndrome	NOTCH2
102530	Spermatogenic failure 6	SPATA16
102530	Spermatogenic failure 6	SPGF6
102578	$Leukemia, acute promyelocytic, somatic$	STAT5B
102700	$Adenosine deaminase deficiency, partial$	ADA
102900	$Adenosine triphosphate, elevated, of erythrocytes$	PK1
102900	$Adenosine triphosphate, elevated, of erythrocytes$	PKLR
103050	Adenylosuccinase deficiency	ADSL
103285	ADULT syndrome	EEC3
103285	ADULT syndrome	KET
103285	ADULT syndrome	LMS
103285	ADULT syndrome	OFC8
103285	ADULT syndrome	RHS
103285	ADULT syndrome	SHFM4
103285	ADULT syndrome	TP63
103285	ADULT syndrome	TP73L
103470	$Waardenburg syndrome/albinism, digenic$	ATN
103470	$Waardenburg syndrome/albinism, digenic$	CMM8
103470	$Waardenburg syndrome/albinism, digenic$	COMMAD
103470	$Waardenburg syndrome/albinism, digenic$	MITF
103470	$Waardenburg syndrome/albinism, digenic$	OCA1A
103470	$Waardenburg syndrome/albinism, digenic$	SHEP3
103470	$Waardenburg syndrome/albinism, digenic$	TYR
103470	$Waardenburg syndrome/albinism, digenic$	WS2A
103500	Tietz albinism-deafness syndrome	CMM8
103500	Tietz albinism-deafness syndrome	COMMAD
103500	Tietz albinism-deafness syndrome	MITF
103500	Tietz albinism-deafness syndrome	WS2A
103580	Pseudohypoparathyroidism Ia	AHO
103580	Pseudohypoparathyroidism Ia	GNAS
103580	Pseudohypoparathyroidism Ia	GNAS1
103580	Pseudohypoparathyroidism Ia	GPSA
103580	Pseudohypoparathyroidism Ia	PHP1A
103580	Pseudohypoparathyroidism Ia	PHP1B
103580	Pseudohypoparathyroidism Ia	PHP1C
103580	Pseudohypoparathyroidism Ia	POH
103780	$Alcohol dependence, susceptibility to$	ADH1B
103780	$Alcohol dependence, susceptibility to$	ADH1C
103780	$Alcohol dependence, susceptibility to$	ADH2
103780	$Alcohol dependence, susceptibility to$	ADH3
103780	$Alcohol dependence, susceptibility to$	GABRA2
103780	$Alcohol dependence, susceptibility to$	HTR2A
103780	$Alcohol dependence, susceptibility to$	T2R16
103780	$Alcohol dependence, susceptibility to$	TAS2R16
103900	$Aldosteronism, glucocorticoid-remediable$	CYP11B1
103900	$Aldosteronism, glucocorticoid-remediable$	FHI
103900	$Aldosteronism, glucocorticoid-remediable$	P450C11
104100	Palmoplantar keratoderma with congenital alopecia	AVSD3
104100	Palmoplantar keratoderma with congenital alopecia	CMDR
104100	Palmoplantar keratoderma with congenital alopecia	CX43
104100	Palmoplantar keratoderma with congenital alopecia	EKVP
104100	Palmoplantar keratoderma with congenital alopecia	GJA1
104100	Palmoplantar keratoderma with congenital alopecia	HLHS1
104100	Palmoplantar keratoderma with congenital alopecia	HSS
104100	Palmoplantar keratoderma with congenital alopecia	ODDD
104100	Palmoplantar keratoderma with congenital alopecia	ODOD
104100	Palmoplantar keratoderma with congenital alopecia	SDTY3
104200	$Alport syndrome, autosomal dominant$	COL4A3
104290	Alternating hemiplegia of childhood	ATP1A2
104290	Alternating hemiplegia of childhood	FHM2
104290	Alternating hemiplegia of childhood	MHP2
104300	$Alzheimer disease 1, familial$	A2M 
104300	$Alzheimer disease 1, familial$	A2MD
104300	$Alzheimer disease 1, familial$	AAA
104300	$Alzheimer disease 1, familial$	AD1
104300	$Alzheimer disease 1, familial$	APP
104300	$Alzheimer disease 1, familial$	BDPLT5
104300	$Alzheimer disease 1, familial$	CVAP
104300	$Alzheimer disease 1, familial$	HFE
104300	$Alzheimer disease 1, familial$	HFE1
104300	$Alzheimer disease 1, familial$	HLA-H
104300	$Alzheimer disease 1, familial$	MPO
104300	$Alzheimer disease 1, familial$	MVCD7
104300	$Alzheimer disease 1, familial$	NOS3
104300	$Alzheimer disease 1, familial$	PLAU
104300	$Alzheimer disease 1, familial$	QPD
104300	$Alzheimer disease 1, familial$	TFQTL2
104300	$Alzheimer disease 1, familial$	URK
104310	Alzheimer disease-2	AD2
104310	Alzheimer disease-2	APOE
104310	Alzheimer disease-2	LDLCQ5
104310	Alzheimer disease-2	LPG
104500	$Amelogenesis imperfecta, type IB$	AI1C
104500	$Amelogenesis imperfecta, type IB$	AIH2
104500	$Amelogenesis imperfecta, type IB$	ENAM
104510	$Amelogenesis imperfecta, type IV$	AI4
104510	$Amelogenesis imperfecta, type IV$	DLX3
104510	$Amelogenesis imperfecta, type IV$	TDO
104530	$Amelogenesis imperfecta, type IA$	AI1A
104530	$Amelogenesis imperfecta, type IA$	LAMB3
105120	$Amyloidosis, Finnish type$	GSN
105150	Cerebral amyloid angiopathy	ARMD11
105150	Cerebral amyloid angiopathy	CST3
105200	$Amyloidosis, familial visceral$	APOA1
105200	$Amyloidosis, familial visceral$	B2M
105200	$Amyloidosis, familial visceral$	FGA
105200	$Amyloidosis, familial visceral$	IMD43
105200	$Amyloidosis, familial visceral$	LYZ
105210	$Amyloidosis, hereditary, transthyretin-related$	PALB
105210	$Amyloidosis, hereditary, transthyretin-related$	TTR
105250	$Amyloidosis, primary localized cutaneous, 1$	OSMR
105250	$Amyloidosis, primary localized cutaneous, 1$	OSMRB
105250	$Amyloidosis, primary localized cutaneous, 1$	PLCA1
105400	$Amyotrophic lateral sclerosis, susceptibility to$	ALS1
105400	$Amyotrophic lateral sclerosis, susceptibility to$	CMT2CC
105400	$Amyotrophic lateral sclerosis, susceptibility to$	DCTN1
105400	$Amyotrophic lateral sclerosis, susceptibility to$	HMN7B
105400	$Amyotrophic lateral sclerosis, susceptibility to$	NEFH
105400	$Amyotrophic lateral sclerosis, susceptibility to$	PRPH
105400	$Amyotrophic lateral sclerosis, susceptibility to$	SOD1
105500	$Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to$	ALSPDC
105500	$Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to$	CHAK
105500	$Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to$	LTRPC7
105500	$Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to$	TRPM7
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	ALSFTD
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	C9orf72
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	FTDALS
105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	FTDALS1
105650	Diamond-Blackfan anemia 1	DBA
105650	Diamond-Blackfan anemia 1	DBA1
105650	Diamond-Blackfan anemia 1	RPS19
105830	Angelman syndrome	ANCR
105830	Angelman syndrome	UBE3A
106100	$Angioedema, hereditary, types I and II$	C1NH
106100	$Angioedema, hereditary, types I and II$	HAE1
106100	$Angioedema, hereditary, types I and II$	HAE2
106100	$Angioedema, hereditary, types I and II$	SERPING1
106190	$Anhidrosis, isolated, with normal sweat glands$	ANHD
106190	$Anhidrosis, isolated, with normal sweat glands$	ITPR2
106210	Cataract with late-onset corneal dystrophy	AN2
106210	Cataract with late-onset corneal dystrophy	ASGD5
106210	Cataract with late-onset corneal dystrophy	FVH1
106210	Cataract with late-onset corneal dystrophy	MGDA
106210	Cataract with late-onset corneal dystrophy	PAX6
106260	Hay-Wells syndrome	EEC3
106260	Hay-Wells syndrome	KET
106260	Hay-Wells syndrome	LMS
106260	Hay-Wells syndrome	OFC8
106260	Hay-Wells syndrome	RHS
106260	Hay-Wells syndrome	SHFM4
106260	Hay-Wells syndrome	TP63
106260	Hay-Wells syndrome	TP73L
106300	$Spondyloarthropathy, susceptibility to, 1$	HLA-B
106300	$Spondyloarthropathy, susceptibility to, 1$	SPDA1
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	ECTD3
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	HOX7
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	HYD1
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	MSX1
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	OFC5
106600	$Tooth agenesis, selective, 1, with or without orofacial cleft$	STHAG1
107250	$Anterior segment dysgenesis 1, multiple subtypes$	ASGD1
107250	$Anterior segment dysgenesis 1, multiple subtypes$	CTPP4
107250	$Anterior segment dysgenesis 1, multiple subtypes$	CTRCT11
107250	$Anterior segment dysgenesis 1, multiple subtypes$	PITX3
107480	Townes-Brocks branchiootorenal-like syndrome	HSAL1
107480	Townes-Brocks branchiootorenal-like syndrome	SALL1
107480	Townes-Brocks branchiootorenal-like syndrome	TBS
107600	$Aplasia cutis congenita, nonsyndromic$	ACC
107600	$Aplasia cutis congenita, nonsyndromic$	BMS1
107600	$Aplasia cutis congenita, nonsyndromic$	BMS1L
107600	$Aplasia cutis congenita, nonsyndromic$	KIAA0187
107970	Arrhythmogenic right ventricular dysplasia 1	ARVD1
107970	Arrhythmogenic right ventricular dysplasia 1	LDS5
107970	Arrhythmogenic right ventricular dysplasia 1	RNHF
107970	Arrhythmogenic right ventricular dysplasia 1	TGFB3
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$	BSF2
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$	HGF
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$	HSF
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$	IFNB2
108010	$Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to$	IL6
108120	$Arthrogryposis multiplex congenita, distal, type 1$	AMCD1
108120	$Arthrogryposis multiplex congenita, distal, type 1$	DA1
108120	$Arthrogryposis multiplex congenita, distal, type 1$	DA2B
108120	$Arthrogryposis multiplex congenita, distal, type 1$	NEM4
108120	$Arthrogryposis multiplex congenita, distal, type 1$	TMSB
108120	$Arthrogryposis multiplex congenita, distal, type 1$	TPM2
108145	$Arthrogryposis, distal, type 5$	DA3
108145	$Arthrogryposis, distal, type 5$	DA5
108145	$Arthrogryposis, distal, type 5$	DAIPT
108145	$Arthrogryposis, distal, type 5$	FAM38B
108145	$Arthrogryposis, distal, type 5$	MWKS
108145	$Arthrogryposis, distal, type 5$	PIEZO2
108300	$Stickler syndrome, type I$	COL2A1
108500	$Episodic ataxia, type 2$	CACNA1A
108500	$Episodic ataxia, type 2$	CACNL1A4
108500	$Episodic ataxia, type 2$	EIEE42
108500	$Episodic ataxia, type 2$	SCA6
108600	$Spastic ataxia 1, autosomal dominant$	SPAX1
108600	$Spastic ataxia 1, autosomal dominant$	SYB1
108600	$Spastic ataxia 1, autosomal dominant$	VAMP1
108720	$Atelosteogenesis, type I$	AOI
108720	$Atelosteogenesis, type I$	FLNB
108720	$Atelosteogenesis, type I$	LRS1
108720	$Atelosteogenesis, type I$	SCT
108721	$Atelosteogenesis, type III$	AOI
108721	$Atelosteogenesis, type III$	FLNB
108721	$Atelosteogenesis, type III$	LRS1
108721	$Atelosteogenesis, type III$	SCT
108770	$Atrial standstill, digenic (GJA5/SCN5A)$	ATFB11
108770	$Atrial standstill, digenic (GJA5/SCN5A)$	CX40
108770	$Atrial standstill, digenic (GJA5/SCN5A)$	GJA5
108900	$Atrial septal defect 7, with or without AV conduction defects$	CHNG5
108900	$Atrial septal defect 7, with or without AV conduction defects$	CSX
108900	$Atrial septal defect 7, with or without AV conduction defects$	HLHS2
108900	$Atrial septal defect 7, with or without AV conduction defects$	NKX2-5
108900	$Atrial septal defect 7, with or without AV conduction defects$	NKX2E
108900	$Atrial septal defect 7, with or without AV conduction defects$	VSD3
108985	Sveinsson chorioretinal atrophy	REF1
108985	Sveinsson chorioretinal atrophy	TCF13
108985	Sveinsson chorioretinal atrophy	TEAD1
109150	Machado-Joseph disease	ATXN3
109150	Machado-Joseph disease	MJD
109150	Machado-Joseph disease	SCA3
109400	Basal cell nevus syndrome	BCNS
109400	Basal cell nevus syndrome	HPE7
109400	Basal cell nevus syndrome	NBCCS
109400	Basal cell nevus syndrome	PTCH1
109400	Basal cell nevus syndrome	PTCH2
109400	Basal cell nevus syndrome	SUFU
109400	Basal cell nevus syndrome	SUFUH
109400	Basal cell nevus syndrome	SUFUXL
109730	Aortic valve disease 1	AOS5
109730	Aortic valve disease 1	AOVD1
109730	Aortic valve disease 1	NOTCH1
109730	Aortic valve disease 1	TAN1
109800	$Bladder cancer, somatic$	ACH
109800	$Bladder cancer, somatic$	CFC2
109800	$Bladder cancer, somatic$	FGFR3
109800	$Bladder cancer, somatic$	HRAS
109800	$Bladder cancer, somatic$	KRAS
109800	$Bladder cancer, somatic$	KRAS2
109800	$Bladder cancer, somatic$	NS
109800	$Bladder cancer, somatic$	RALD
109800	$Bladder cancer, somatic$	RASK2
109800	$Bladder cancer, somatic$	RB1
11	$Mental retardation, autosomal recessive$	ANIB11
11	$Mental retardation, autosomal recessive$	MRT11
11	$Mental retardation, autosomal recessive$	MYP11
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$	BPES
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$	BPES1
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$	FOXL2
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$	PFRK
110100	$Blepharophimosis, epicanthus inversus, and ptosis, type 2$	POF3
110450	$[Blood group, Colton]$	AQP1
110450	$[Blood group, Colton]$	CHIP28
110450	$[Blood group, Colton]$	CO
110500	$[Blood group, Diego]$	AE1
110500	$[Blood group, Diego]$	CHC
110500	$[Blood group, Diego]$	EPB3
110500	$[Blood group, Diego]$	SAO
110500	$[Blood group, Diego]$	SLC4A1
110500	$[Blood group, Diego]$	SPH4
110700	$[Blood group, Duffy system]$	ACKR1
110700	$[Blood group, Duffy system]$	DARC
110700	$[Blood group, Duffy system]$	FY
110700	$[Blood group, Duffy system]$	GPD
110700	$[Blood group, Duffy system]$	WBCQ1
110800	Adult i phenotype without cataract	CTRCT13
110800	Adult i phenotype without cataract	GCNT2
110800	Adult i phenotype without cataract	Ii
110900	$[Blood group, Kell]$	KEL
111000	$[Blood group, Kidd]$	JK
111000	$[Blood group, Kidd]$	SLC14A1
111000	$[Blood group, Kidd]$	UT1
111000	$[Blood group, Kidd]$	UTE
111150	Blood group--Lutheran inhibitor	CDAN4
111150	Blood group--Lutheran inhibitor	EKLF
111150	Blood group--Lutheran inhibitor	HBFQTL6
111150	Blood group--Lutheran inhibitor	INLU
111150	Blood group--Lutheran inhibitor	KLF1
111200	$[Blood group, Auberger system]$	AU
111200	$[Blood group, Auberger system]$	BCAM
111200	$[Blood group, Auberger system]$	LU
111250	$[Blood group, Landsteiner-Wiener]$	CD242
111250	$[Blood group, Landsteiner-Wiener]$	ICAM4
111250	$[Blood group, Landsteiner-Wiener]$	LW
111380	$[Blood group, OK]$	BSG
111400	NOR polyagglutination syndrome	A4GALT
111400	NOR polyagglutination syndrome	B3GALT3
111400	NOR polyagglutination syndrome	GLCT3
111400	NOR polyagglutination syndrome	GLOB
111400	NOR polyagglutination syndrome	P1PK
111600	$[Blood group, Langereis system]$	ABCB6
111600	$[Blood group, Langereis system]$	DUH3
111600	$[Blood group, Langereis system]$	LAN
111600	$[Blood group, Langereis system]$	MCOPCB7
111600	$[Blood group, Langereis system]$	MTABC3
111600	$[Blood group, Langereis system]$	PSHK2
111620	$[Blood group, Radin]$	ERMAP
111620	$[Blood group, Radin]$	RD
111620	$[Blood group, Radin]$	SC
111690	$[Blood group, Rhesus]$	RHCE
111750	$[Blood group, Scianna system]$	ERMAP
111750	$[Blood group, Scianna system]$	RD
111750	$[Blood group, Scianna system]$	SC
112010	$[Blood group, Waldner]$	AE1
112010	$[Blood group, Waldner]$	CHC
112010	$[Blood group, Waldner]$	EPB3
112010	$[Blood group, Waldner]$	SAO
112010	$[Blood group, Waldner]$	SLC4A1
112010	$[Blood group, Waldner]$	SPH4
112050	$[Blood group, Wright]$	AE1
112050	$[Blood group, Wright]$	CHC
112050	$[Blood group, Wright]$	EPB3
112050	$[Blood group, Wright]$	SAO
112050	$[Blood group, Wright]$	SLC4A1
112050	$[Blood group, Wright]$	SPH4
112100	$[Blood group, Yt system]$	ACHE
112100	$[Blood group, Yt system]$	YT
112240	Cole-Carpenter syndrome 1	CLCRP1
112240	Cole-Carpenter syndrome 1	P4HB
112240	Cole-Carpenter syndrome 1	PROHB
112250	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	DMSMFH
112250	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	MTAP
112310	Boomerang dysplasia	AOI
112310	Boomerang dysplasia	FLNB
112310	Boomerang dysplasia	LRS1
112310	Boomerang dysplasia	SCT
112410	Hypertension and brachydactyly syndrome	HTNB
112410	Hypertension and brachydactyly syndrome	PDE3A
112500	$Brachydactyly, type A1$	BDA1
112500	$Brachydactyly, type A1$	IHH
112600	$Brachydactyly, type A2$	ALK6
112600	$Brachydactyly, type A2$	AMDD
112600	$Brachydactyly, type A2$	BDA1C
112600	$Brachydactyly, type A2$	BDA1D
112600	$Brachydactyly, type A2$	BDA2
112600	$Brachydactyly, type A2$	BMP2
112600	$Brachydactyly, type A2$	BMP2A
112600	$Brachydactyly, type A2$	BMPR1B
112600	$Brachydactyly, type A2$	CDMP1
112600	$Brachydactyly, type A2$	GDF5
112600	$Brachydactyly, type A2$	OS5
112600	$Brachydactyly, type A2$	SYM1B
112600	$Brachydactyly, type A2$	SYNS2
113000	$Brachydactyly, type B1$	BDB
113000	$Brachydactyly, type B1$	BDB1
113000	$Brachydactyly, type B1$	NTRKR2
113000	$Brachydactyly, type B1$	ROR2
113100	$Brachydactyly, type C$	BDA1C
113100	$Brachydactyly, type C$	CDMP1
113100	$Brachydactyly, type C$	GDF5
113100	$Brachydactyly, type C$	OS5
113100	$Brachydactyly, type C$	SYM1B
113100	$Brachydactyly, type C$	SYNS2
113200	$Brachydactyly, type D$	BDSD
113200	$Brachydactyly, type D$	HOX4I
113200	$Brachydactyly, type D$	HOXD13
113200	$Brachydactyly, type D$	SPD1
113300	$Brachydactyly, type E$	BDSD
113300	$Brachydactyly, type E$	HOX4I
113300	$Brachydactyly, type E$	HOXD13
113300	$Brachydactyly, type E$	SPD1
113500	Brachyolmia type 3	BCYM3
113500	Brachyolmia type 3	CMT2C
113500	Brachyolmia type 3	HMSN2C
113500	Brachyolmia type 3	SMAL
113500	Brachyolmia type 3	SPSMA
113500	Brachyolmia type 3	SSQTL1
113500	Brachyolmia type 3	TRPV4
113500	Brachyolmia type 3	VROAC
113620	Branchiooculofacial syndrome	AP2TF
113620	Branchiooculofacial syndrome	BOFS
113620	Branchiooculofacial syndrome	TFAP2A
113650	$Branchiootorenal syndrome 1, with or without cataracts$	BOR
113650	$Branchiootorenal syndrome 1, with or without cataracts$	BOS1
113650	$Branchiootorenal syndrome 1, with or without cataracts$	EYA1
113650	$Branchiootorenal syndrome 1, with or without cataracts$	OFC1
113750	$Albinism, oculocutaneous, type VI$	NCKX5
113750	$Albinism, oculocutaneous, type VI$	OCA6
113750	$Albinism, oculocutaneous, type VI$	SHEP4
113750	$Albinism, oculocutaneous, type VI$	SLC24A5
113800	Epidermolytic hyperkeratosis	BCIE
113800	Epidermolytic hyperkeratosis	BIE
113800	Epidermolytic hyperkeratosis	EHK
113800	Epidermolytic hyperkeratosis	EPPK
113800	Epidermolytic hyperkeratosis	KRT1
113800	Epidermolytic hyperkeratosis	KRT10
113800	Epidermolytic hyperkeratosis	NEPPK
113900	$Heart block, nonprogressive$	CDCD2
113900	$Heart block, nonprogressive$	CMD1E
113900	$Heart block, nonprogressive$	HB1
113900	$Heart block, nonprogressive$	LQT3
113900	$Heart block, nonprogressive$	SCN5A
113900	$Heart block, nonprogressive$	SSS1
113900	$Heart block, nonprogressive$	VF1
113970	Burkitt lymphoma	MYC
114000	Caffey disease	COL1A1
114000	Caffey disease	EDSC
114000	Caffey disease	OI1
114000	Caffey disease	OI2
114000	Caffey disease	OI3
114000	Caffey disease	OI4
114290	Campomelic dysplasia	CMD1
114290	Campomelic dysplasia	SOX9
114290	Campomelic dysplasia	SRA1
114300	$Arthrogryposis, distal, type 3$	DA3
114300	$Arthrogryposis, distal, type 3$	DA5
114300	$Arthrogryposis, distal, type 3$	DAIPT
114300	$Arthrogryposis, distal, type 3$	FAM38B
114300	$Arthrogryposis, distal, type 3$	MWKS
114300	$Arthrogryposis, distal, type 3$	PIEZO2
114480	$Breast cancer, susceptibility to$	AKT1
114480	$Breast cancer, susceptibility to$	ALPS2B
114480	$Breast cancer, susceptibility to$	AT1
114480	$Breast cancer, susceptibility to$	ATA
