disease_OMIM_ID	disease_name
114550	Hepatocellular carcinoma
114900	$Carcinoid tumors, intestinal$
115080	$Cardiac conduction defect, susceptibility to$
115150	Cardiofaciocutaneous syndrome
115195	$Cardiomyopathy, hypertrophic, 2$
115196	$Cardiomyopathy, hypertrophic, 3$
115197	$Cardiomyopathy, hypertrophic, 4$
115200	$Cardiomyopathy, dilated, 1A$
115210	$Cardiomyopathy, familial restrictive, 1$
115300	$Hypercarotenemia and vitamin A deficiency, autosomal dominant$
115310	Paragangliomas 4
115430	$Carpal tunnel syndrome, familial$
115700	$Cataract 4, multiple types$
115900	Cataract 42
116100	$Cataract 20, multiple types$
116200	$Cataract 1, multiple types$
116300	$Cataract 30, pulverulent$
116400	Cataract 41
116600	$Cataract 6, multiple types$
116700	Cataract 13 with adult i phenotype
116800	$Cataract 5, multiple types$
116860	Cavernous malformations of CNS and retina
116920	Leukocyte adhesion deficiency
117000	$Neuromuscular disease, congenital, with uniform type 1 fiber$
117210	Spinocerebellar ataxia 31
117300	$Dementia, familial Danish$
117360	$Spinocerebellar ataxia 29, congenital nonprogressive$
117550	Sotos syndrome 1
117650	Cerebrocostomandibular syndrome
117800	$[Colostrum secretion, variation in]$
118100	$Klippel-Feil syndrome 1, autosomal dominant$
118200	$Charcot-Marie-Tooth disease, type 1B$
118210	$Charcot-Marie-Tooth disease, type 2A1$
118220	$Charcot-Marie-Tooth disease, type 1A$
118300	$Charcot-Marie-Tooth disease, type 1E$
118400	Cherubism
118450	Alagille syndrome 1
118600	Chondrocalcinosis 2
118700	$Chorea, hereditary benign$
118800	Paroxysmal nonkinesigenic dyskinesia
119300	van der Woude syndrome
119500	Popliteal pterygium syndrome 1
119540	$Cleft palate, isolated$
119600	$Cleidocranial dysplasia, forme fruste, dental anomalies only$
119800	$Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly$
119900	$Digital clubbing, isolated congenital$
12	$Mental retardation, X-linked, syndromi$
120080	Colchicine resistance
120100	Familial cold-induced inflammatory syndrome 1
120200	$Coloboma, ocular$
120330	Papillorenal syndrome
120430	Coloboma of optic nerve
120433	$Coloboma, ocular$
120435	$Colorectal cancer, hereditary nonpolyposis, type 1$
120790	$Complement component 4, partial deficiency of$
120970	Cone-rod retinal dystrophy-2
121050	$Contractural arachnodactyly, congenital$
121200	Myokymia
121201	$Seizures, benign neonatal, type 2$
121300	Harderoporphyria
121800	$Corneal dystrophy, Schnyder type$
121820	$Corneal dystrophy, epithelial basement membrane$
121850	Corneal fleck dystrophy
121900	$Corneal dystrophy, Groenouw type I$
122000	$Corneal dystrophy, posterior polymorphous, 1$
122100	Meesmann corneal dystrophy
122200	$Corneal dystrophy, lattice type I$
122400	Epithelial recurrent erosion dystrophy
122470	Cornelia de Lange syndrome 1
122600	Spondylocostal dysostosis 5
122700	Warfarin sensitivity
122860	$Craniodiaphyseal dysplasia, autosomal dominant$
122880	Craniofacial-deafness-hand syndrome
123000	Craniometaphyseal dysplasia
123100	Craniosynostosis 1
123150	Jackson-Weiss syndrome
123320	$Creatine phosphokinase, elevated serum$
123400	Creutzfeldt-Jakob disease
123500	Crouzon syndrome
123700	$Cutis laxa, AD$
123790	Beare-Stevenson cutis gyrata syndrome
124000	$Mitochondrial complex III deficiency, nuclear type 1$
124200	Darier disease
124480	$Deafness, congenital, with onychodystrophy, autosomal dominant$
124500	Vohwinkel syndrome
124900	$Deafness, autosomal dominant 1$
125250	Optic atrophy plus syndrome
125310	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1
125350	$Failure of tooth eruption, primary$
125370	Dentatorubro-pallidoluysian atrophy
125400	$Dentin dysplasia, type I, with microdontia and misshapen teeth$
125420	$Dentin dysplasia, type II$
125490	$Dentinogenesis imperfecta, Shields type II$
125500	$Dentinogenesis imperfecta, Shields type III$
125595	Dermatopathia pigmentosa reticularis
125630	Vibratory urticaria
125700	$Diabetes insipidus, neurohypophyseal$
125800	$Diabetes insipidus, nephrogenic$
125850	$MODY, type I$
125851	$MODY, type II$
125852	$Diabetes mellitus, insulin-dependent, 2$
125853	$Insulin resistance, susceptibility to$
126200	$Multiple sclerosis, susceptibility to, 1$
126600	Doyne honeycomb degeneration of retina
126700	Basal laminar drusen
127000	$Kenny-Caffey syndrome, type 2$
127300	Leri-Weill dyschondrosteosis
127400	Dyschromatosis symmetrica hereditaria
127550	$Dyskeratosis congenita, autosomal dominant 1$
127700	$Dyslexia, susceptibility to, 1$
127750	$Dementia, Lewy body$
128100	$Dystonia-1, torsion$
128101	$Dystonia 4, torsion, autosomal dominant$
128200	Episodic kinesigenic dyskinesia 1
128230	$Dystonia, DOPA-responsive, with or without hyperphenylalaninemia$
128235	Dystonia-12
129200	Basan syndrome
129400	Orofacial cleft 8
129490	$Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant$
129500	$Ectodermal dysplasia 2, Clouston type$
129600	$Ectopia lentis, familial$
13	Myopi
130000	$Ehlers-Danlos syndrome, classic$
130050	$Ehlers-Danlos syndrome, type IV$
130060	$Ehlers-Danlos syndrome, type VIIA$
130070	Ehlers-Danlos syndrome with short stature and limb anomalies
130080	$Ehlers-Danlos syndrome, periodontal type, 1$
130600	Elliptocytosis-2
130650	Beckwith-Wiedemann syndrome
130720	Lateral meningocele syndrome
130900	$Amelogenesis imperfecta, type III$
131100	Multiple endocrine neoplasia 1
131300	Camurati-Engelmann disease
131440	Myeloproliferative disorder with eosinophilia
131705	Transient bullous of the newborn
131750	$Epidermolysis bullosa dystrophica, AD$
131760	$Epidermolysis bullosa simplex, Dowling-Meara type$
131800	$Epidermolysis bullosa simplex, Weber-Cockayne type$
131850	$Epidermolysis bullosa, pretibial$
131900	$Epidermolysis bullosa simplex, Koebner type$
131950	$Epidermolysis bullosa simplex, Ogna type$
131960	Epidermolysis bullosa simplex-MP
132000	$EBD, Bart type$
132400	$Epiphyseal dysplasia, multiple, 1$
132450	$Epiphyseal dysplasia, multiple, with myopia and deafness$
132600	$Pilomatricoma, somatic$
132700	$Cylindromatosis, familial$
132800	$Multiple self-healing squamous epithelioma, susceptibility to$
132900	$Aortic aneurysm, familial thoracic 4$
133020	Small fiber neuropathy
133100	$[Erythrocytosis, familial, 1]$
133190	Spinocerebellar ataxia 34
133200	Erythrokeratodermia variabilis et progressiva
133239	$Esophageal carcinoma, somati$
133540	$Cockayne syndrome, type B$
133700	$Exostoses, multiple, type 1$
133701	$Exostoses, multiple, type 2$
133780	Retinopathy of prematurity
134610	$Familial Mediterranean fever, AD$
134700	Favism
135100	Fibrodysplasia ossificans progressiva
135150	Birt-Hogg-Dube syndrome
135290	$Desmoid disease, hereditary$
135300	$Fibromatosis, gingival, 1$
135500	Zimmermann-Laband syndrome 1
135700	$Fibrosis of extraocular muscles, congenital, 3B$
135750	Laurin-Sandrow syndrome
135900	Coffin-Siris syndrome 1
136000	Adermatoglyphia
136120	Fish-eye disease
136140	Floating-Harbor syndrome
136520	Foveal hypoplasia 1
136550	$Macular dystrophy, North Carolina type$
136630	$Mental retardation, FRA12A type$
136680	Frasier syndrome
136760	Frontonasal dysplasia 1
136800	$Corneal dystrophy, Fuchs endothelial, 1$
136880	Retinitis punctata albescens
136900	Sorsby fundus dystrophy
137200	$Neuromyotonia and axonal neuropathy, autosomal recessive$
137215	$Gastric cancer, familial diffuse, with or without cleft lip and/or palate$
137245	$Lymphoma, MALT, somatic$
137440	$Cerebral amyloid angiopathy, PRNP-related$
137550	$Spitz nevus or nevus spilus, somatic$
137580	$Gilles de la Tourette syndrome, susceptibility to$
137600	Anterior segment dysgenesis 4
137750	$Glaucoma 1A, primary open angle$
137760	$Glaucoma 1, open angle, E$
137800	$Glioblastoma, somatic$
137920	Renal cysts and diabetes syndrome
137940	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome
138000	Glomuvenous malformations
138500	Hyperglycinuria
138800	$Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors$
138900	$[Uric acid concentration, serum, QTL1]$
139090	Gray platelet syndrome
139210	Myhre syndrome
139300	Aromatase excess syndrome
139393	$Neuropathy, inflammatory demyelinating$
14	$Mental retardation, X-linke$
140000	Hand-foot-uterus syndrome
140300	Hashimoto thyroiditis
140350	Hawkinsinuria
140600	Osteoarthritis susceptibility 2
140700	Heinz body anemia
141200	$Hematuria, benign familial$
141500	$Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia$
141749	Fetal hemoglobin quantitative trait locus 1
142330	$Hepatic adenoma, somatic$
142623	$Hirschsprung disease, susceptibility to, 1$
142669	$Hip dysplasia, Beukes type$
142680	$Periodic fever, familial$
142690	$Acne inversa, familial, 1$
142900	Holt-Oram syndrome
142945	Holoprosencephaly 3
142946	Holoprosencephaly 4
143095	Spondyloepiphyseal dysplasia with congenital joint dislocations
143100	Huntington disease
143200	Wagner syndrome 1
143400	Congenital anomalies of kidney and urinary tract 2
143465	Attention deficit-hyperactivity disorder
143470	[High density lipoprotein cholesterol level QTL 10]
143500	[Gilbert syndrome]
143860	$Hyperchlorhidrosis, isolated$
143870	$Hypercalciuria, absorptive, susceptibility to$
143880	$Hypercalcemia, infantile, 1$
143890	LDL cholesterol level QTL2
144010	$Hypercholesterolemia, due to ligand-defective apo B$
144200	$Palmoplantar keratoderma, epidermolytic$
144250	$Combined hyperlipidemia, familial$
144650	$Hyperchylomicronemia, late-onset$
144700	Renal cell carcinoma
144750	Osteosclerosis
145000	$Hyperparathyroidism, familial primary$
145001	Parathyroid adenoma with cystic changes
145250	Hyperpigmentation with or without hypopigmentation
145410	$Opitz GBBB syndrome, type II$
145500	$Hypertension, essential$
145600	King-Denborough syndrome
145650	$Thyroid hormone resistance, selective pituitary$
145680	[Dystransthyretinemic hyperthyroxinemia]
145750	$Hypertriglyceridemia, susceptibility to$
145900	Dejerine-Sottas disease
145980	$Hypocalciuric hypercalcemia, type I$
145981	$Hypocalciuric hypercalcemia, type II$
146000	Hypochondroplasia
146110	Hypogonadotropic hypogonadism 7 without anosmia
146200	$Hypoparathyroidism, autosomal recessive$
146255	$Hypoparathyroidism, sensorineural deafness, and renal dysplasia$
146300	$Hypophosphatasia, adult$
146500	$Multiple system atrophy, susceptibility to$
146510	Pallister-Hall syndrome
146520	Hypotrichosis 2
146550	Hypotrichosis 4
146590	$Ichthyosis histrix, Curth-Macklin type$
146700	Ichthyosis vulgaris
146800	Ichthyosis bullosa of Siemens
147050	$[IgE, elevated level of]$
147060	Hyper-IgE recurrent infection syndrome
147250	Single median maxillary central incisor
147480	$Cholestasis, intrahepatic, of pregnancy, 1$
147750	IVIC syndrome
147891	Ischiocoxopodopatellar syndrome
147920	Kabuki syndrome 1
147950	Hypogonadotropic hypogonadism 2 with or without anosmia
148000	$Kaposi sarcoma, susceptibility to$
148050	KBG syndrome
148190	Keratitis
148210	Keratitis-ichthyosis-deafness syndrome
148300	Keratoconus 1
148350	$Keratoderma, palmoplantar, with deafness$
148500	Tylosis with esophageal cancer
148600	$Keratoderma, palmoplantar, punctate type IA$
148700	$Keratosis palmoplantaris striata I, AD$
148820	$Waardenburg syndrome, type 3$
149200	Bart-Pumphrey syndrome
149400	$Hyperekplexia, hereditary 1, autosomal dominant or recessive$
149700	Lacrimal duct defect
149730	LADD syndrome
15	Myopi
150250	Larsen syndrome
150400	$Tooth agenesis, selective, 4$
150600	Legg-Calve-Perthes disease
150699	$Leiomyoma, uterine, somatic$
150800	Leiomyomatosis and renal cell cancer
151050	Lenz-Majewski hyperostotic dwarfism
151100	LEOPARD syndrome 1
151210	$Platyspondylic skeletal dysplasia, Torrance type$
151600	$Nail disorder, nonsyndromic congenital, 3, (leukonychia)$
151623	Li-Fraumeni syndrome
151660	$Lipodystrophy, familial partial, type 2$
152700	$Systemic lupus erythematosus, susceptibility to$
152950	$Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation$
153100	$Lymphedema, hereditary, IA$
153400	Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus
153480	Bannayan-Riley-Ruvalcaba syndrome
153550	$Macrocytic anemia, refractory, due to 5q deletion, somatic$
153600	$Macroglobulinemia, Waldenstrom, somatic$
153640	Fechtner syndrome
153650	Epstein syndrome
153670	$Bernard-Soulier syndrome, type A2 (dominant)$
153700	$Macular dystrophy, vitelliform, 2$
153800	$Macular degeneration, age-related, 2$
154020	$Hypomagnesemia 2, renal$
154400	$Acrofacial dysostosis 1, Nager type$
154500	Treacher Collins syndrome 1
154700	Marfan syndrome
154780	Marshall syndrome
154800	Mast cell disease
155100	May-Hegglin anomaly
155240	Medullary thyroid carcinoma
155255	Medulloblastoma
155310	Visceral myopathy
155600	$Malignant melanoma, somatic$
155601	$Melanoma, cutaneous malignant, 2$
155755	Melanoma and neural system tumor syndrome
155950	Melorheostosis with osteopoikilosis
156200	$Mental retardation, autosomal dominant 1$
156240	$Mesothelioma, somatic$
156250	Metachondromatosis
156400	$Metaphyseal chondrodysplasia, Murk Jansen type$
156500	$Metaphyseal chondrodysplasia, Schmid type$
156510	Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly
156530	Metatropic dysplasia
156550	Kniest dysplasia
156610	$Symmetric circumferential skin creases, congenital, 1$
157170	Holoprosencephaly 2
157300	$Migraine, susceptibility to$
157600	Mirror movements 1
157640	$Progressive external ophthalmoplegia, autosomal dominant 1$
157800	Cardiospondylocarpofacial syndrome
158000	Monilethrix
158300	Trismus-pseudocamptodactyly syndrome
158320	Muir-Torre syndrome
158330	Mullerian aplasia and hyperandrogenism
158350	Lhermitte-Duclos syndrome
158580	$Neuronopathy, distal hereditary motor, type VIIA$
158590	$Neuropathy, distal hereditary motor, type IIA$
158600	$Spinal muscular atrophy, lower extremity-predominant 1, AD$
158810	Bethlem myopathy 1
158901	$Fascioscapulohumeral muscular dystrophy 2, digenic$
159000	$Muscular dystrophy, limb-girdle, type 1A$
159001	$Muscular dystrophy, limb-girdle, type 1B$
159550	Ataxia-pancytopenia syndrome
159900	$Dystonia-11, myoclonic$
159950	Spinal muscular atrophy with progressive myoclonic epilepsy
16	$Mental retardation, autosomal recessiv$
160120	Episodic ataxia/myokymia syndrome
160150	$Myopathy, centronuclear$
160500	Laing distal myopathy
160565	$Myopathy, tubular aggregate,$
160800	$Myotonia congenita, dominant$
160900	Myotonic dystrophy 1
160980	$Carney complex, type 1$
161000	Naegeli-Franceschetti-Jadassohn syndrome
161200	Nail-patella syndrome
161400	Narcolepsy 1
161800	$Myopathy, actin, congenital, with cores$
162000	$Hyperuricemic nephropathy, familial juvenile 1$
162091	Schwannomatosis
162100	$Amyotrophy, hereditary neuralgic$
162200	$Neurofibromatosis, type 1$
162210	$Neurofibromatosis, familial spinal$
162300	Multiple endocrine neoplasia IIB
162350	$Ceroid lipofuscinosis, neuronal, 4, Parry type$
162400	$Neuropathy, hereditary sensory and autonomic, type IA$
162500	$Neuropathy, recurrent, with pressure palsies$
162800	$Neutropenia, cyclic$
162900	$Nevus sebaceous or woolly hair nevus, somatic$
163000	$Capillary malformations, congenital, 1, somatic, mosaic$
163200	$Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic$
163500	$Night blindness, congenital stationary, autosomal dominant 2$
163800	Sick sinus syndrome 2
163950	Noonan syndrome 1
164200	Oculodentodigital dysplasia
164230	Obsessive-compulsive disorder
164280	Feingold syndrome 1
164300	Oculopharyngeal muscular dystrophy
164400	Spinocerebellar ataxia 1
164500	Spinocerebellar ataxia 7
165300	Optic atrophy 3 with cataract
165500	Optic atrophy 1
165550	Optic nerve hypoplasia
165720	Osteoarthritis susceptibility 1
165800	$Osteochondritis dissecans, short stature, and early-onset osteoarthritis$
166200	$Osteogenesis imperfecta, type I$
166210	$Osteogenesis imperfecta, type II$
166220	$Osteogenesis imperfecta, type IV$
166250	Osteoglophonic dysplasia
166260	Gnathodiaphyseal dysplasia
166300	Multicentric carpotarsal osteolysis syndrome
166350	$Osseous heteroplasia, progressive$
166600	$Osteopetrosis, autosomal dominant 2$
166700	Buschke-Ollendorff syndrome
166710	Osteoporosis
166780	Otofaciocervical syndrome
166900	$Ovalocytosis, SA type$
167000	$Ovarian carcinoma, somatic$
167030	$Nephrolithiasis, calcium oxalate$
167200	Pachyonychia congenita 1
167210	Pachyonychia congenita 2
167250	Paget disease of bone 3
167320	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1
167800	$Pancreatitis, chronic, protection against$
167870	$Panic disorder, susceptibility to$
168000	$Paragangliomas 1, with or without deafness$
168300	Paramyotonia congenita
168400	Parastremmatic dwarfism
168500	Parietal foramina 1
168550	Parietal foramina with cleidocranial dysplasia
168600	$Parkinson disease, age of onset, modifier$
168601	Parkinson disease 1
168605	Perry syndrome
169100	Char syndrome
169150	$Macular dystrophy, patterned, 1$
169400	Pelger-Huet anomaly
169500	$Leukodystrophy, adult-onset, autosomal dominant$
169600	Hailey-Hailey disease
17	$Mental retardation, X-linked, syndromi$
170100	Prolidase deficiency
170390	Andersen syndrome
170400	$Hypokalemic periodic paralysis, type 1$
170500	$Hyperkalemic periodic paralysis, type 2$
170650	$Periodontitis 1, juvenile$
171200	[Phenylthiocarbamide tasting]
171300	$Pheochromocytoma, susceptibility to$
171400	Multiple endocrine neoplasia IIA
172700	Pick disease
172800	Piebaldism
172870	Pigmented paravenous chorioretinal atrophy
173100	$Growth hormone deficiency, isolated, type II$
173200	Pityriasis rubra pilaris
173600	$Pneumothorax, primary spontaneous$
173650	Kindler syndrome
173900	$Polycystic kidney disease, adult type I$
174000	Medullary cystic kidney disease 1
174050	Polycystic liver disease 1
174200	$Polydactyly, postaxial, types A1 and B$
174300	Orofaciodigital syndrome V
174500	Triphalangeal thumb-polysyndactyly syndrome
174700	$Polydactyly, preaxial, type IV$
174800	$McCune-Albright syndrome, somatic, mosai$
174810	$Osteolysis, familial expansile$
174900	$Polyposis, juvenile intestinal$
175050	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome
175100	Gardner syndrome
175200	Peutz-Jeghers syndrome
175700	Greig cephalopolysyndactyly syndrome
175780	Porencephaly 1
175800	$Porokeratosis 1, multiple types$
175900	$Porokeratosis 3, multiple types$
176000	$Porphyria, acute intermittent, nonerythroid variant$
176100	$Porphyria cutanea tarda, susceptibility to$
176200	$Porphyria variegata, susceptibility to$
176270	Prader-Willi syndrome
176305	Guttmacher syndrome
176400	$Precocious puberty, central, 1$
176410	$Leydig cell adenoma, somatic, with precocious puberty$
176430	[Premature chromatid separation trait]
176450	Currarino syndrome
176500	$Dementia, familial British$
176670	Hutchinson-Gilford progeria
176807	$Prostate cancer, susceptibility to$
176860	$Thrombophilia due to protein C deficiency, autosomal dominant$
176920	$Proteus syndrome, somatic$
177000	$Protoporphyria, erythropoietic, autosomal recessive$
177170	Pseudoachondroplasia
177200	Liddle syndrome
177650	$Exfoliation syndrome, susceptibility to$
177735	$Pseudohypoaldosteronism type I, autosomal dominant$
177820	$von Willebrand disease, platelet-type$
177850	$Pseudoxanthoma elasticum, forme fruste$
177900	Psoriasis susceptibility 1
178110	$Arthrogryposis, distal, type 8$
178300	$Ptosis, congenital$
178500	$Pulmonary fibrosis, idiopathic, susceptibility to$
178600	$Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated$
179620	$[Blood group, Raph]$
179800	$Renal tubular acidosis, distal, AD$
179850	Dowling-Degos disease 1
18	Myopi
180000	$Retinal arteries, tortuosity of$
180100	Retinitis pigmentosa 1
180104	Retinitis pigmentosa 9
180105	Retinitis pigmentosa 10
180200	$Retinoblastoma, trilateral$
180295	$Rhabdomyosarcoma, embryonal, 2$
180300	$Rheumatoid arthritis, susceptibility to$
180500	$Axenfeld-Rieger syndrome, type 1$
180550	Ring dermoid of cornea
180700	$Robinow syndrome, autosomal dominant 1$
180750	Robinow-Sorauf syndrome
180800	Roussy-Levy syndrome
180849	Rubinstein-Taybi syndrome 1
180860	Silver-Russell syndrome
180920	Aplasia of lacrimal and salivary glands
181000	$Sarcoidosis, susceptibility to, 1$
181030	$Adenomas, salivary gland pleomorphic, somatic$
181270	Scalp-ear-nipple syndrome
181350	$Emery-Dreifuss muscular dystrophy 2, AD$
181400	$Scapuloperoneal syndrome, neurogenic, Kaeser type$
181405	Scapuloperoneal spinal muscular atrophy
181430	$Scapuloperoneal syndrome, myopathic type$
181450	Ulnar-mammary syndrome
181500	Schizophrenia
182000	$Keratosis, seborrheic, somatic$
182170	$Anemia, sideroblastic, 4$
182212	Shprintzen-Goldberg syndrome
182230	Growth hormone deficiency with pituitary anomalies
182250	Singleton-Merten syndrome 1
182280	$Small cell cancer of the lung, somatic$
182290	Smith-Magenis syndrome
182410	Sneddon syndrome
182600	$Spastic paraplegia 3A, autosomal dominant$
182601	$Spastic paraplegia 4, autosomal dominant$
182900	$Spherocytosis, type 1$
182920	$Myopathy, spheroid body$
182940	Neural tube defects
182980	$Spinal muscular atrophy, late-onset, Finkel type$
183086	Spinocerebellar ataxia 6
183090	$Amyotrophic lateral sclerosis, susceptibility to, 13$
183900	SED congenita
184095	$SED, Maroteaux type$
184250	SMED Strudwick type
184252	$Spondylometaphyseal dysplasia, Kozlowski type$
184450	$Stuttering, familial persistent, 1$
184460	Stapes ankylosis with broad thumb and toes
184500	Steatocystoma multiplex
184840	$Stickler syndrome, type III$
184900	Stiff skin syndrome
185000	Overhydrated hereditary stomatocytosis
185020	Cryohydrocytosis
185070	Stormorken syndrome
185300	$Sturge-Weber syndrome, somatic, mosaic$
185500	Supravalvar aortic stenosis
185800	$Symphalangism, proximal, 1A$
186000	Synpolydactyly 1
186100	$Syndactyly, type III$
186200	$Syndactyly, type IV$
186300	$Syndactyly, type V$
186500	Multiple synostoses syndrome 1
186550	Liebenberg syndrome
186570	Tarsal-carpal coalition syndrome
186580	Blau syndrome
187300	$Telangiectasia, hereditary hemorrhagic, type 1$
187500	Tetralogy of Fallot
187600	$Thanatophoric dysplasia, type I$
187601	$Thanatophoric dysplasia, type II$
187800	$Bleeding disorder, platelet-type, 16, autosomal dominant$
187900	$Bleeding disorder, platelet-type, 17$
187950	$Thrombocythemia, somatic$
188000	Thrombocytopenia 2
188030	$Thrombocytopenic purpura, autoimmune$
188050	Thrombophilia due to thrombin defect
188055	Thrombophilia due to activated protein C resistance
188400	DiGeorge syndrome
188470	$Thyroid cancer, nonmedullary, 2$
188550	$Thyroid cancer, monmedullary, 1$
188570	Thyroid hormone resistance
188580	$Thyrotoxic periodic paralysis, susceptibility to, 1$
188740	Hypoplastic or aplastic tibia with polydactyly
188890	$Nicotine addiction, susceptibility to$
189500	$Ectodermal dysplasia 3, Witkop type$
189800	$Hypertension, pregnancy-induced$
19	$Mental retardation, autosomal recessiv$
190300	$Essential tremor, susceptibility to$
190320	Trichodontoosseous syndrome
190330	Trichomegaly
190350	$Trichorhinophalangeal syndrome, type I$
190351	$Trichorhinophalangeal syndrome, type III$
190440	Trigonocephaly 1
190685	$Leukemia, megakaryoblastic, with or without Down syndrome, somatic$
190900	$Colorblindness, tritan$
191100	Tuberous sclerosis-1
191480	Uncombable hair syndrome
191830	Renal hypodysplasia/aplasia 1
191900	Muckle-Wells syndrome
192315	$Vasculopathy, retinal, with cerebral leukodystrophy$
192430	Velocardiofacial syndrome
192500	$Long QT syndrome 1, acquired, susceptibility to$
192600	$Cardiomyopathy, hypertrophic, 1, digenic$
192605	$Ventricular tachycardia, idiopathic$
192950	$Charcot-Marie-Tooth disease, foot deformity of$
